"DemoCount","DeveloperCount","DLCCount","Metacritic","MovieCount","PackageCount","PublisherCount","ScreenshotCount","SteamSpyOwners","SteamSpyPlayersEstimate","AchievementCount","AchievementHighlightedCount","ControllerSupport","IsFree","FreeVerAvail","PurchaseAvail","SubscriptionAvail","PlatformWindows","PlatformLinux","PlatformMac","PCReqsHaveMin","PCReqsHaveRec","LinuxReqsHaveMin","LinuxReqsHaveRec","MacReqsHaveMin","MacReqsHaveRec","CategorySinglePlayer","CategoryMultiplayer","CategoryCoop","CategoryMMO","CategoryInAppPurchase","CategoryIncludeSrcSDK","CategoryIncludeLevelEditor","CategoryVRSupport","GenreIsIndie","GenreIsAction","GenreIsAdventure","GenreIsCasual","GenreIsStrategy","GenreIsRPG","GenreIsSimulation","GenreIsEarlyAccess","GenreIsFreeToPlay","GenreIsSports","GenreIsRacing","GenreIsMassivelyMultiplayer","PriceInitial","PriceFinal","SupportEmail","SupportURL","AboutText","Background","ShortDescrip","DetailedDescrip","DRMNotice","ExtUserAcctNotice","LegalNotice","SupportedLanguages","Website","PCMinReqsText","PCRecReqsText","LinuxMinReqsText","LinuxRecReqsText","MacMinReqsText","MacRecReqsText","Recommendations","Disapproval","Reviews","Day","Month","Year","AgeRating","NoCategory"
0,1,0,81,1,1,1,15,173790,93082,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,2529,358,2887,4,8,2011,4,0
0,1,0,0,0,2,1,5,288035,134871,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,3196,211,3407,3,8,2007,4,0
0,1,0,0,0,2,1,5,446580,234051,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,15638,509,16147,3,8,2007,4,0
0,1,0,0,0,2,1,6,374123,116577,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1062,182,1244,3,8,2007,4,0
0,1,0,83,0,2,1,5,443890,194594,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,7518,378,7896,3,8,2007,4,0
0,1,0,94,0,2,1,5,340047,181860,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,12261,449,12710,3,8,2007,4,0
1,1,0,0,0,2,1,4,318525,140969,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,6991,367,7358,3,8,2007,4,0
0,1,0,0,0,2,1,4,279247,18114,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,155,35,190,3,8,2007,4,0
0,1,0,0,0,2,1,4,278171,22239,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.99,2.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,133,84,217,3,8,2007,4,0
1,1,0,69,1,2,1,2,317987,51115,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,207,50,257,3,8,2007,4,0
